Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Pressure_Score,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2012,12,Male,17,Right-Handed,178,27,178,1,Car,15,0.212,37,Football (American),,,,,,,27,Same length,84,102,Ring finger,February,Summer,Yes,No,Pizza/Pasta,Water,History,8,10,3,Yes - other,Text messaging,159,161,8,0,1,4,3,2,1,0,1,1,0,1,Some,3,Graduate degree,Pop,Telepathy,Rich,Friend,Religious
USA,CA,2019,12,Male,17,Right-Handed,184,26,180,1,Car,15,0.25,45,Skateboarding/Rollerblading,1000,500,700,700,10,100,27,Left foot,90,80,Index finger,March,Winter,No,No,Meat,Water,Computers and technology,8,6,3,Yes - broadband connection,Text messaging,999,998,10,1,8,2,3,8,6,5,1,2,10,3,A lot,4,Graduate degree,Jazz,Freeze time,Happy,Relative,Environment
USA,CA,2020,12,Female,16,Right-Handed,163,22.5,,2,Walk,10,0.701,37,Other,750,800,800,600,900,900,23,Left foot,65,70,Ring finger,September,Fall,No,No,Fruit,Water,Art,8,10,6,Yes - broadband connection,Text messaging,1000,1000,0,2,28,3,0,3,21,21,28,0,0,7,A lot,4,Graduate degree,Pop,Telepathy,Rich,Other,Education/Youth development
USA,CA,2017,12,Male,17,Right-Handed,170,24,161,2,Car,40,0.394,40,Dancing,300,700,800,200,600,600,24,Same length,80,87,Ring finger,May,Spring,Yes,No,Pizza/Pasta,Juice,English,5,14,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,30,6,2,12,6,0,4,10,2,10,2,0,2,A lot,4,Graduate degree,Pop,Invisibility,Happy,Actor,Health
USA,CA,2017,12,Male,17,Right-Handed,180,10.56,187,1,Car,4,0.407,44,Baseball/Softball,750,250,750,500,250,250,10.56,Same length,90,95,Ring finger,May,Spring,No,No,Pizza/Pasta,Soft drink (caffeinated),Mathematics and statistics,6,10,4,Yes - broadband connection,Text messaging,12,16,14,0.5,8,4,1,4,0,1,24,2,3,4,Some,3,Graduate degree,Rock and roll,Fly,Rich,Relative,Health
USA,CA,2012,12,Female,17,Right-Handed,153,21,,1,Walk,10,0.63,74,Running/Jogging,497,508,775,824,102,102,21,Same length,6,64,Ring finger,December,Winter,Yes,No,Desserts,Sports drink,Mathematics and statistics,7,6,6,Yes - broadband connection,Text messaging,100,150,10,2,15,36,13,0,1,42,3,15,20,18,Some,3,Other,Gospel,Fly,Happy,Relative,Religious
USA,CA,2020,12,Female,16,Right-Handed,160,22,,2,Car,15,0.376,44,Basketball,845,674,861,856,743,663,,,,,,May,Winter,No,Yes,No favorite,Water,Mathematics and statistics,5,9,3,Yes - broadband connection,Text messaging,40,45,0,30,57,4,7,0,5,3,,,,,,,,,,,,
USA,CA,2016,12,Female,17,Ambidextrous,175,27,175,1,Car,15,0.293,34,Swimming,610,754,668,620,786,775,27,Same length,80,80,Same length,July,Fall,No,No,Salads,Water,English,7,5,4,Yes - broadband connection,Text messaging,10,12,8,35,10,5,14,0,30,5,20,5,0,5,A lot,4,Graduate degree,Other,Invisibility,Healthy,Coach or club leader,"Wildlife, animals"
USA,CA,2019,12,Female,17,Right-Handed,162.5,21.5,151.3,2,Car,10,0.159,45,Other,1000,1000,1000,1000,500,700,21.5,Same length,70,70,Same length,February,Fall,Yes,Yes,Seafood,Water,Languages,7.5,10,6,Yes - other,Text messaging,12,20,35,1,20,5,2,0,3,1,10,0,3,7,Some,3,Other,Other,Freeze time,Happy,Relative,Health
USA,CA,2014,10,Female,16,Right-Handed,154,22,142,2,Car,25,1.442,73,Soccer,1000,1000,1000,1000,1000,1000,22,Same length,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2021,12,Female,16,Right-Handed,1.66,22,160,3,Car,10,0.38,36,Swimming,1000,1000,1000,900,600,600,22,Same length,80,80,Same length,October,Summer,No,No,Pizza/Pasta,Water,Social studies,8.5,7.6,5,Yes - broadband connection,Text messaging,30,26,65,2,4.5,60,7,0,7,7,10,0,24,5,Some,3,Other,Rap/Hip hop,Telepathy,Healthy,Relative,Environment
USA,CA,2016,12,Female,17,Right-Handed,167.6,24,165,1,Car,45,0.47,36,Skateboarding/Rollerblading,711,727,1000,600,561,893,22,Right foot,90,85,Index finger,May,Spring,Yes,No,Rice/Noodle dishes,Water,Social studies,7,9,2,Yes - other,"Myspace, Facebook, other social networking sites, or blog",20,20,4,3,8,2,0,0,8,2,6,5,4,0,A lot,4,Graduate degree,Other,Fly,Happy,Musician or singer,Environment
USA,CA,2015,12,Female,17,Right-Handed,175,25,175,1,Car,10,0.341,39,Other,781,503,1000,920,112,118,25,Right foot,10,8,Index finger,March,Winter,Yes,No,No favorite,Water,Languages,7,10,3,Yes - broadband connection,In person,50,50,40,2,15,2,1,0,5,10,20,10,0,3,Some,3,Graduate degree,Reggae,Telepathy,Happy,Musician or singer,Environment
USA,CA,2013,12,Female,16,Right-Handed,158,25,,1,Car,2,0.355,37,Tennis,898,898,791,856,775,818,25,Same length,72,74,Ring finger,September,Summer,No,No,No favorite,Water,Mathematics and statistics,6,9,7,Yes - other,In person,45,50,23,2,16,25,9,1,5,5,10,8,0,10,A lot,4,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Relative,Education/Youth development
USA,CA,2012,12,Female,17,Right-Handed,157.4,24.5,155,1,Car,10,0.452,36,Dancing,500,700,500,600,800,900,24.5,Same length,80,65,Same length,October,Winter,No,No,Pizza/Pasta,Water,Other,5,10,4,Yes - broadband connection,Text messaging,100,100,1,2,3,1,0,0,20,15,40,5,0,0,Some,3,Graduate degree,Techno/Electronic,Fly,Happy,Friend,International aid
